frame,cx,cy
1826,649.25,332.5
1827,652.25,332.25
1828,655.25,332.5
1829,659.25,332.5
1830,663.25,332.25
1831,665.75,331.75
1832,667,331.5
1833,673.25,328.75
1834,674.25,328.5
1835,675.5,329.5
1836,677.25,331
1837,679.25,332.25
1838,681.5,334
1839,683.5,334.5
1840,686.25,336
1841,691.75,338.5
1842,695.75,340
1843,698,341.25
1844,706,340.25
1845,708.25,340
1846,711.75,341.75
1847,714.75,342.75
1848,718.5,343.75
1849,722.75,345
1850,727.5,347.25
1851,735.75,346.5
1852,736.5,348
1853,738.5,349
1854,741.25,351
1855,744,352.75
1856,746.25,355.5
1857,747.25,357.75
1858,749.25,362
1859,752.25,367.25
